event_date,source,medium,campaign,user_session_count,cart_add_count,visit_to_cart,checkout_count,visit_to_checkout,purchase_count,visit_to_purchase
2020-11-14,(direct),(none),(direct),506,0,0.0,19,0.038,5,0.01
2020-11-14,<Other>,(data deleted),(data deleted),2,0,0.0,0,0.0,0,0.0
2020-11-14,<Other>,<Other>,<Other>,343,0,0.0,20,0.058,6,0.017
2020-11-14,<Other>,organic,(organic),55,0,0.0,1,0.018,0,0.0
2020-11-14,<Other>,referral,(referral),236,0,0.0,11,0.047,4,0.017
2020-11-14,google,cpc,<Other>,105,0,0.0,3,0.029,0,0.0
2020-11-14,google,organic,(organic),715,0,0.0,30,0.042,4,0.006
2020-11-14,shop.googlemerchandisestore.com,referral,(referral),201,0,0.0,13,0.065,5,0.025
2020-11-15,(data deleted),(data deleted),(data deleted),119,0,0.0,7,0.059,3,0.025
2020-11-15,(data deleted),(data deleted),<Other>,2,0,0.0,0,0.0,0,0.0
2020-11-15,(direct),(none),(direct),534,0,0.0,23,0.043,4,0.007
2020-11-15,<Other>,(data deleted),(data deleted),2,0,0.0,0,0.0,0,0.0
2020-11-15,<Other>,<Other>,<Other>,338,0,0.0,15,0.044,1,0.003
2020-11-15,<Other>,organic,(organic),54,0,0.0,2,0.037,2,0.037
2020-11-15,<Other>,referral,(referral),217,0,0.0,9,0.041,3,0.014
2020-11-15,google,cpc,<Other>,90,0,0.0,1,0.011,1,0.011
2020-11-15,google,organic,(organic),660,0,0.0,44,0.067,5,0.008
2020-11-15,shop.googlemerchandisestore.com,referral,(referral),174,0,0.0,9,0.052,4,0.023
2020-11-16,(data deleted),(data deleted),(data deleted),276,3,0.011,11,0.04,6,0.022
2020-11-16,(data deleted),(data deleted),<Other>,5,0,0.0,0,0.0,0,0.0
2020-11-16,(direct),(none),(direct),784,10,0.013,44,0.056,21,0.027
2020-11-16,<Other>,(data deleted),(data deleted),6,0,0.0,0,0.0,0,0.0
2020-11-16,<Other>,<Other>,<Other>,516,5,0.01,24,0.047,9,0.017
2020-11-16,<Other>,organic,(organic),84,2,0.024,3,0.036,0,0.0
2020-11-16,<Other>,referral,(referral),318,3,0.009,14,0.044,3,0.009
2020-11-16,google,cpc,<Other>,138,0,0.0,7,0.051,3,0.022
2020-11-16,google,organic,(organic),1041,10,0.01,41,0.039,19,0.018
2020-11-16,shop.googlemerchandisestore.com,referral,(referral),327,2,0.006,21,0.064,6,0.018
2020-11-17,(data deleted),(data deleted),(data deleted),341,22,0.065,26,0.076,16,0.047
2020-11-17,(data deleted),(data deleted),<Other>,6,0,0.0,0,0.0,0,0.0
2020-11-17,(direct),(none),(direct),907,48,0.053,43,0.047,20,0.022
2020-11-17,<Other>,(data deleted),(data deleted),4,1,0.25,1,0.25,1,0.25
2020-11-17,<Other>,<Other>,<Other>,537,37,0.069,23,0.043,10,0.019
